Neighbourhood;Roompricepernight_mean
Ahuntsic-Cartierville;43.04928954811742
Anjou;46.083030378143164
Baie-d'Urfé;91.35714285714286
Beaconsfield;48.37509712509712
Côte-Saint-Luc;75.54091688849452
Côte-des-Neiges-Notre-Dame-de-Grâce;48.16106088711174
Dollard-des-Ormeaux;55.73161312371838
Dorval;68.44347193422824
Hampstead;48.99829931972789
Kirkland;69.40666666666667
L'Île-Bizard-Sainte-Geneviève;46.1976911976912
LaSalle;52.400943714762924
Lachine;52.74396467243758
Le Plateau-Mont-Royal;63.602614542893775
Le Sud-Ouest;52.25137393055919
Mercier-Hochelaga-Maisonneuve;45.34160619504707
Mont-Royal;60.29267676767677
Montréal-Est;31.954761904761906
Montréal-Nord;43.28562091503267
Montréal-Ouest;96.53571428571429
Outremont;54.34290166338913
Pierrefonds-Roxboro;43.3983709273183
Pointe-Claire;56.321432142706776
Rivière-des-Prairies-Pointe-aux-Trembles;335.5283223531233
Rosemont-La Petite-Patrie;43.86344977250905
Saint-Laurent;52.191732597414
Saint-Léonard;45.68358395989975
Sainte-Anne-de-Bellevue;36.65714285714286
Verdun;43.68186010630111
Ville-Marie;69.85813204638943
Villeray-Saint-Michel-Parc-Extension;47.351934763963634
Westmount;66.29516927738838
